method,K,method_acc,baseline_mean,baseline_std,p_value,complication,prevalence
REC_IM_MI_perfeat,16,0.521263657104143,0.5023030458862374,0.008065347267650834,0.03,REC_IM,0.09352941176470589
REC_IM_II_perfeat,3,0.5,0.5017218052477563,0.009349875488677977,0.68,REC_IM,0.09352941176470589
REC_IM_II_perfeat,5,0.5,0.5015163926062877,0.00841843743136126,0.58,REC_IM,0.09352941176470589
REC_IM_II_perfeat,10,0.5,0.5024708287928692,0.006535698465312499,0.54,REC_IM,0.09352941176470589
REC_IM_II_perfeat,16,0.49967553536664505,0.5023030458862374,0.008065347267650834,0.59,REC_IM,0.09352941176470589
REC_IM_II_joint,3,0.5,0.5017218052477563,0.009349875488677977,0.68,REC_IM,0.09352941176470589
REC_IM_II_joint,5,0.49438410898746626,0.5015163926062877,0.00841843743136126,0.97,REC_IM,0.09352941176470589
REC_IM_II_joint,10,0.5176945461372383,0.5024708287928692,0.006535698465312499,0.04,REC_IM,0.09352941176470589
REC_IM_II_joint,16,0.5092339777731523,0.5023030458862374,0.008065347267650834,0.15,REC_IM,0.09352941176470589
REC_IM_DII_L1,3,0.5,0.5017218052477563,0.009349875488677977,0.68,REC_IM,0.09352941176470589
REC_IM_DII_L1,5,0.5,0.5015163926062877,0.00841843743136126,0.58,REC_IM,0.09352941176470589
REC_IM_DII_L1,10,0.4954574951330305,0.5024708287928692,0.006535698465312499,0.95,REC_IM,0.09352941176470589
REC_IM_DII_L1,16,0.49730429068766097,0.5023030458862374,0.008065347267650834,0.77,REC_IM,0.09352941176470589
P_IM_STEN_MI_perfeat,3,0.4927469350794093,0.5018803984396767,0.007454122062050733,0.96,P_IM_STEN,0.08705882352941176
P_IM_STEN_MI_perfeat,5,0.5083588743382558,0.5042183581777653,0.01404044550102516,0.17,P_IM_STEN,0.08705882352941176
P_IM_STEN_MI_perfeat,10,0.5040140011145166,0.5015320249373084,0.008733542019047445,0.19,P_IM_STEN,0.08705882352941176
P_IM_STEN_MI_perfeat,16,0.49323453608247425,0.5023538938422959,0.009245132935661962,0.96,P_IM_STEN,0.08705882352941176
P_IM_STEN_II_perfeat,3,0.5,0.5018803984396767,0.007454122062050733,0.69,P_IM_STEN,0.08705882352941176
P_IM_STEN_II_perfeat,5,0.5,0.5042183581777653,0.01404044550102516,0.67,P_IM_STEN,0.08705882352941176
P_IM_STEN_II_perfeat,10,0.5,0.5015320249373084,0.008733542019047445,0.49,P_IM_STEN,0.08705882352941176
P_IM_STEN_II_perfeat,16,0.4993556701030928,0.5023538938422959,0.009245132935661962,0.47,P_IM_STEN,0.08705882352941176
P_IM_STEN_II_joint,3,0.5059382836444692,0.5018803984396767,0.007454122062050733,0.14,P_IM_STEN,0.08705882352941176
P_IM_STEN_II_joint,5,0.5093079548620786,0.5042183581777653,0.01404044550102516,0.16,P_IM_STEN,0.08705882352941176
P_IM_STEN_II_joint,10,0.4964561855670103,0.5015320249373084,0.008733542019047445,0.89,P_IM_STEN,0.08705882352941176
P_IM_STEN_II_joint,16,0.4948453608247423,0.5023538938422959,0.009245132935661962,0.92,P_IM_STEN,0.08705882352941176
P_IM_STEN_DII_L1,3,0.5,0.5018803984396767,0.007454122062050733,0.69,P_IM_STEN,0.08705882352941176
P_IM_STEN_DII_L1,5,0.5017675536361104,0.5042183581777653,0.01404044550102516,0.25,P_IM_STEN,0.08705882352941176
P_IM_STEN_DII_L1,10,0.5007923516299805,0.5015320249373084,0.008733542019047445,0.32,P_IM_STEN,0.08705882352941176
P_IM_STEN_DII_L1,16,0.49806701030927836,0.5023538938422959,0.009245132935661962,0.63,P_IM_STEN,0.08705882352941176
